task_id,map_name,mutation_factors,commanders,enemy_ai,difficulty_score,notes,is_verified,verifier,battle_experience,是否为裂隙突变,commander_count
dcf5569be0624c1183744538d83a7e5b,机会渺茫,"'暗无天日', '风暴英雄', '核弹打击', '震荡攻击', '混乱工作室', '相互摧毁'","'蒙斯克', '诺娃'",帝国战斗群,5,,,,,,2
29d01c7e0688471eb9c2c471de49a374,虚空降临,"'焦土政策', '时间扭曲', '虚空裂隙'","'霍纳与汉', '沃拉尊'",暗影袭扰,2,,,,,裂隙突变,2
a62f454c0f3e46df901a4371583430b4,升格之链,"'轨道轰炸', '短视症'","'雷诺', '阿塔尼斯'",战争机械团,2,我觉得这个难度0，双打这个，雷诺只需要出星轨扫描，大主教只需要单刷一个轨道轰炸，0影响，雷诺还有面板帮助,,,,,2
75b456ff37a7467dbf01c3c656e390e9,亡者之夜,"'速度狂魔', '丧尸大战', '时间扭曲'","'扎加拉', '阿巴瑟'",袭扰炮击,2,我觉得这个难度只能够1，阿巴瑟只需要傻爆宿主守家，扎加拉出门推图就行了,,,,,2
9b4b393a34c54bfd9a2acc798625dc13,机会渺茫,"'幸运红包', '扫雷大战', '暗无天日'","'雷诺', '霍纳与汉'",旧世步兵团,2,,,,,,2
85d5c775fb3d439cbe719abd8a4bc4a8,亡者之夜,"'晶矿护盾', '时间扭曲', '给我死吧', '龙卷风暴'","'斯台特曼', '德哈卡'",旧世机械团,2,我觉得0-1就行，两个后出双打单复活,,,,,2
117005a87a26459bb6235ca72d236339,净网行动,"'强磁雷场', '净化光束'","'扎加拉', '泽拉图'",旧世步兵团,1,难度0-1.盘拉图就排雷并且单刷了，扎加拉都不需要,,,,,2
957b4356d8c342eeaa7ca7e374f7d2d9,湮灭快车,"'同化体', '净化光束', '力量蜕变'","'阿拉纳克', '德哈卡'",艾尔先锋,2,双打这个难度0-1，德哈卡出地刺稳守软，然后果打单蜕变,,,,,2
b848b43dfb4e430195388d17ca872b7a,营救矿工,"'轨道轰炸', '焦土政策', '同化体', '晶矿护盾', '强磁雷场'","'蒙斯克', '阿巴瑟'",遮天蔽日,2,,,,,,2
57db949dc34842f09ee99a492e1d0913,机会渺茫,"'自毁程序', '光子过载', '行尸走肉', '震荡攻击', '闪避机动'","'雷诺', '扎加拉'",步战机甲,3,,,,,,2
1450e5563e7f4dac9544251d4026795e,湮灭快车,"'焦土政策', '杀生业报', '激光钻机', '行尸走肉'","'凯瑞甘', '泽拉图'",旧世机械团,2,,,,,,2
63d8b09a55014c9a872fcbf5af3e23f3,机会渺茫,"'强行征用', '生命汲取', '无边恐惧', '杀戮机器人', '自毁程序'","'阿塔尼斯', '诺娃'",族长之军,3,,,,,,2
4180d4978903421a86e0599fac3fc3df,克哈裂痕,"'焦土政策', '无边恐惧', '鼓舞人心', '闪避机动', '丧尸大战'","'凯拉克斯', '诺娃'",旧世步兵团,1,双打0难度，v3诺娃爽炸，红点一个700全不剩，技师就守家，能量除了第一波能全砸柱子,,,,,2
2cdc4865c1a849db95dd6e645ee95482,营救矿工,"'净化光束', '激光钻机', '自毁程序', '灵能爆表'","'阿巴瑟', '扎加拉'",袭扰炮击,2,2.灵能太恶心,,,,,2
69afe756569f43be9ede3afa9f12ca8e,天界封锁,"'轨道轰炸', '伤害散射', '杀戮机器人', '力量蜕变'","'斯旺', '诺娃'",大师机械,3,3-4，这两个指挥官送杀戮很头大，斯旺修硬抗也伤,,,,,2
3dae862bb54f42d99c3a1d3c19e4ca47,虚空撕裂,"'轨道轰炸', '默哀', '时空立场'","'雷诺', '德哈卡'",族长之军,1,0，德哈卡宿主无脑单刷，面板不需要停,,,,,2
f3d6050c366949eab82f1ee7174457d7,湮灭快车,"'晶矿护盾', '闪避机动', '来去无踪'","'凯拉克斯', '阿巴瑟'",突击团,1,0,,,,,2
