task_id,map_name,mutation_factors,commanders,enemy_ai,difficulty_score,notes,is_verified,verifier,battle_experience,是否为裂隙突变,commander_count
848b73be726d45d2a115128d6541215d,虚空降临,'力量蜕变','诺娃',旧世机械团,2,,,,,,1
04c05f1feb9b4586ba54c9d97cb3038a,营救矿工,"'震荡攻击', '双重压力', '行尸走肉'",'斯托科夫',爆炸威胁,4,,,,,,1
4ae4d0d265fb4478bc250c344af01216,克哈裂痕,"'减伤屏障', '暴风雪'",'扎加拉',侵略虫群,2,,,,,,1
6be7a27d74fc4271963d73796b864187,虚空降临,"'异形寄生', '短视症', '虚空裂隙'",'雷诺',暗影袭扰,5,,,,,裂隙突变,1
967418ed6cf0437e82aee5f8a2e2bafa,虚空降临,"'风暴英雄', '丧尸大战', '焦土政策'",'蒙斯克',滋生腐化,4,,,,,,1
8d8d42b342114b6b9c239f5e618c785c,聚铁成兵,"'光子过载', '杀戮机器人'",'雷诺',步战机甲,4,,,,,,1
4362fee828a4411f99867c38ae20519c,虚空撕裂,'虚空裂隙','凯瑞甘',族长之军,3,3-4,,,,裂隙突变,1
7f157558eb3b4bfd9b3ca6ced8a928fd,聚铁成兵,'飞弹大战','扎加拉',袭扰炮击,1,1,,,,,1
04d1fe5378004f129804d95ff7a475d9,熔火危机,"'暴风雪', '闪避机动'",'泽拉图',族长之军,2,2，熔火暴风雪捡水晶纯折磨,,,,,1
7e6d60456fe94043a6d14afa11459b87,天界封锁,"'强磁雷场', '超远视距'",'雷诺',肆虐扩散,1,0，z视距不厉害,,,,裂隙突变,1
c8e0c95275c94d1d8d7335c056a705ab,机会渺茫,"'力量蜕变', '复仇战士'",'阿巴瑟',肆虐扩散,3,2-3,,,,,1
d084e14f537d4bcab6b986cc4d025e42,死亡摇篮,"'强磁雷场', '异形寄生'",'霍纳与汉',暗影袭扰,3,3,,,,裂隙突变,1
5f94df7400e64454ad640143672deee4,湮灭快车,"'伤害散射', '轨道轰炸'",'泰凯斯',帝国战斗群,2,2,,,,,1
77973d4b69bc420db3c94e2687fdd58c,升格之链,"'净化光束', '核弹打击', '黑死病'",'阿拉纳克',暗影袭扰,3,,,,,,1
1dc2caec50da4200bf881298e6a5c621,克哈裂痕,"'净化光束', '强行征用', '给我死吧'",'斯旺',袭扰炮击,2,,,,,,1
a76f51afb62e484580121fc44c103c13,聚铁成兵,"'强行征用', '净化光束'",'泰凯斯',风暴迫临,1,,,,,,1
77926a2b48fb4e29a0d5e6ea6df43066,升格之链,"'混乱工作室', '岩浆爆发'",'阿巴瑟',步战机甲,2,,,,,,1
f2d7841bb1a74df0956d29c16d9a729a,死亡摇篮,"'灵能爆表', '光子过载'",'阿拉纳克',肆虐扩散,3,,,,,,1
ad21fb876c854aedbe8d67106fdd7e82,营救矿工,"'黑死病', '异形寄生', '伤害散射'",'斯托科夫',遮天蔽日,3,,,,,,1
8618e6300bcc424f9b74b3701bb992e2,克哈裂痕,"'生命吸取', '给我死吧'",'霍纳与汉',步战机甲,2,,,,,,1
1d9bca2255d84d1d8ad90432cfd6a73e,营救矿工,"'无边恐惧', '强磁雷场'",'泰凯斯',大师机械,1,,,,,,1
16a8080866354c179cac4c25aa7c1c32,净网行动,"'生命汲取', '扫雷专家', '晶矿护盾'",'泽拉图',战争机械团,3,,,,,,1
5c837d1ac47b44348ced0343fd9b8ed2,死亡摇篮,"'礼尚往来', '焦土政策', '龙卷风暴'",'斯托科夫',旧世机械团,2,,,,,,1
a9f9b99e0e834e27a65c115b5c06b580,亡者之夜,"'黑死病', '扫雷大战', '暗无天日'",'斯托科夫',大师机械,5,,,,,,1
e8f7e922f8cc4563a613c90f992ea106,亡者之夜,"'相互摧毁', '丧尸大战'",'阿拉纳克',风暴迫临,3,,,,,,1
f62e0139d1a94f3192dcec90bcfb35f5,亡者之夜,"'生命吸取', '光子过载'",'菲尼克斯',艾尔先锋,2,,,,,,1
bac8be6f670749b7923fe7b56431abfe,营救矿工,"'激光钻机', '黑死病'",'阿拉纳克',族长之军,2,,,,,,1
e6ee92d5ad604c9cb2d542699db28f80,营救矿工,"'扫雷大战', '黑死病', '坚强意志'",'雷诺',艾尔先锋,5,,,,,,1
460efafd0c044b8d9fcb2c66453df5c7,聚铁成兵,"'行尸走肉', '龙卷风暴', '暴风雪', '闪避机动'",'斯台特曼',暗影科技团,2,,,,,裂隙突变,1
c9f7a3c5f6654e0685882cd05bc1bb40,死亡摇篮,"'黑死病', '扫雷大战', '暴风雪', '行尸走肉', '给我死吧'",'斯台特曼',步战机甲,4,,,,,,1
1f02d6fdc2394fac89b779099599da5c,熔火危机,"'核弹打击', '速度狂魔'",'阿拉纳克',族长之军,2,,,,,,1
3defe541b0ab43929e33faadd18ca567,虚空降临,"'速度狂魔', '杀戮机器人'",'阿塔尼斯',滋生腐化,5,,,,,,1
076df43c8b154459b5320c9c2c1a9711,聚铁成兵,'强行征用','诺娃',滋生腐化,1,有因子吗。。,,,,,1
3e4538aa76e6484fa1ce7e776a7058c2,虚空撕裂,"'岩浆爆发', '坚强意志', '复仇战士'",'阿巴瑟',滋生腐化,3,,,,,,1
5de8260f578c40c18c75ad97b11e1393,营救矿工,"'虚空裂隙', '飞弹大战', '核弹打击'",'德哈卡',帝国战斗群,4,,,,,裂隙突变,1
b2330f7587be4ef080be3dcefce20ed6,升格之链,'相互摧毁','斯旺',旧世机械团,2,,,,,,1
e3d7a9a04f46430ab096f012e1e7c6fa,机会渺茫,'强磁雷场','诺娃',大师机械,2,,,,,,1
7ef622789163410c8409702b0ef6a24b,营救矿工,"'激光钻机', '强行征用', '复仇战士'",'斯台特曼',艾尔先锋,2,,,,,,1
298c082cc96b430d968c31edc435f925,天界封锁,"'默哀', '晶矿护盾'",'凯瑞甘',突击团,1,吃点熟练度,,,,,1
3da6c3bb4f5044ae8b4d0123da8482a9,聚铁成兵,'相互摧毁','凯瑞甘',暗影科技团,2,解放和刷兵混核体注意一下,,,,,1
1396d9b01d404a319d9c6d99a61d4563,亡者之夜,"'强行征用', '复仇战士', '灵能爆表'",'霍纳与汉',肆虐扩散,5,米拉真能打吗,,,,,1
