序号,突变名称,地图,因子1,因子2,因子3,因子4,评级
1,盲人摸象,聚铁成兵,暗无天日,短视症,复仇战士,,
2,寸步难行,净网行动,暴风雪,净化光束,震荡攻击,,
3,合则存，分则亡,黑暗杀星,极性不定,进攻部署,补给共享,,
4,无声死神,营救矿工,速度狂魔,同化体,默哀,,
5,停尸房,亡者之夜,黑死病,异形寄生,无边恐惧,,
6,入门体验,克哈裂痕,风暴英雄,虚空裂隙,,,
7,后发制于人,天界封锁,短视症,来去无踪,灵能爆表,,
8,持久战,升格之链,伤害散射,风暴英雄,坚强意志,,
9,三重抉择,湮灭快车,杀戮机器人,虚空裂隙,鼓舞人心,,
10,迫近的狂热,机会渺茫,伤害散射,速度狂魔,生命吸取,,
11,火中取栗,熔火危机,岩浆爆发,杀戮机器人,激光钻机,,
12,拆弹专家,虚空降临,炸弹机器人,飞弹大战,来去无踪,,
13,狂轰滥炸,往日神庙,核弹打击,轨道轰炸,相互摧毁,,
14,非他杀？,虚空撕裂,双重压力,扫雷大战,无边恐惧,,
15,恶意馈赠,死亡摇篮,礼尚往来,相互摧毁,,,
16,示例,往日神庙,力量蜕变,伤害散射,双重压力,,
17,死亡冲刺,营救矿工,伤害散射,致命勾引,闪避机动,速度狂魔,
18,内部福利,净网行动,礼尚往来,扫雷专家,,,
19,快上车,湮灭快车,风暴英雄,速度狂魔,致命勾引,,
20,南村群童,净网行动,丧尸大战,速度狂魔,震荡攻击,暴风雪,
21,我是高手,往日神庙,进攻部署,虚空裂隙,力量蜕变,默哀,
22,我是大主教,营救矿工,速度狂魔,焦土政策,自毁程序,复仇战士,
23,磁力干扰,聚铁成兵,致命勾引,自毁程序,强磁雷场,,
24,梦魇再临,虚空降临,复仇战士,默哀,风暴2,,
25,火速行动,天界封锁,速度狂魔,给我死吧,杀戮机器人,,
26,迫近的狂热,机会渺茫,速度狂魔,伤害散射,生命吸取,,
27,恶意馈赠,死亡摇篮,礼尚往来,相互摧毁,,,
28,虚空屏障,虚空撕裂,极性不定,虚空裂隙,,,
29,狂轰滥炸,往日神庙,核弹打击,轨道轰炸,相互摧毁,,
30,破灭之音,黑暗杀星,默哀,力量蜕变,相互摧毁,短视症,
31,无声死神,营救矿工,速度狂魔,同化体,默哀,,
32,炸弹快递,死亡摇篮,炸弹机器人,飞弹大战,暗无天日,,
33,深境螺旋,升格之链,虚空重生者,虚空裂隙,力量蜕变,,
34,合则存，分则亡,黑暗杀星,极性不定,进攻部署,礼尚往来,,
35,时间差不多咯,熔火危机,杀戮机器人,同化体,速度狂魔,,
36,物资收集,聚铁成兵,小捞油水,无边恐惧,震荡攻击,龙卷风暴,
37,火海抢修,熔火危机,伤害散射,异形寄生,岩浆爆发,焦土政策,
38,丧尸围城,亡者之夜,给我死吧,丧尸大战,行尸走肉,,
39,风暴之门,虚空降临,风暴英雄,暴风雪,龙卷风暴,,
40,形体降临,往日神庙,力量蜕变,复仇战士,生命吸取,,
41,爆竹声声,机会渺茫,焰火秀,相互摧毁,自毁程序,,
42,捉迷藏,升格之链,同化体,来去无踪,暗无天日,,
43,埃蒙之赐,黑暗杀星,虚空裂隙,相互摧毁,,,
44,月时计,净网行动,核弹打击,强磁雷场,时空力场,时间扭曲,
45,扫雷大师,虚空撕裂,扫雷专家,强磁雷场,减伤屏障,轨道轰炸,
46,都市决战,克哈裂痕,进攻部署,虚空重生者,晶矿护盾,,
47,相互掩护,营救矿工,复仇战士,坚强意志,鼓舞人心,超远视距,
48,星穹铁道专列,湮灭快车,异形寄生,行尸走肉,复仇战士,相互摧毁,
49,捉迷藏,亡者之夜,来去无踪,行尸走肉,闪避机动,异形寄生,
50,探索提瓦特,净网行动,虚空裂隙,礼尚往来,,,
51,城市化,亡者之夜,激光钻机,伤害散射,光子过载,减伤屏障,
52,单刷无效,死亡摇篮,极性不定,,,,
53,明日方舟,虚空降临,核弹打击,坚强意志,焰火秀,暴风雪,
54,憧憬成为魔法少女,往日神庙,灵能爆表,给我死吧,力量蜕变,,
55,武神终极,升格之链,风暴英雄,坚强意志,复仇战士,,
56,举步维艰,亡者之夜,小捞油水,扫雷专家,暴风雪,,
