序号,突变名称,地图,因子1,因子2,因子3,因子4
1,冰封王座,往日神庙,虚空裂隙,无边恐惧,强磁雷场,时间扭曲
2,寒冰之触,聚铁成兵,风暴英雄,飞弹大战,龙卷风暴,轨道轰炸
3,烈焰之怒,天界封锁,复仇战士,虚空裂隙,杀戮机器人,龙卷风暴
4,虚空裂隙,营救矿工,复仇战士,焦土政策,自毁程序,暴风雪
5,极速闪电,黑暗杀星,同化体,飞弹大战,力量蜕变,速度狂魔
6,冰火两重天,机会渺茫,复仇战士,扫雷专家,鼓舞人心,焦土政策
7,毁灭军团,聚铁成兵,极性不定,来去无踪,相互摧毁,时间扭曲
8,钢铁洪流,亡者之夜,默哀,同化体,闪避机动,时间扭曲
9,黑暗深渊,升格之链,灵能爆表,同化体,行尸走肉,复仇战士
10,虚空之握,克哈裂痕,异形寄生,礼尚往来,暴风雪,速度狂魔
11,黑夜猎手,聚铁成兵,虚空重生者,异形寄生,生命吸取,超远视距
12,逐风者,升格之链,炸弹机器人,轨道轰炸,焰火秀,异形寄生
13,狂风暴雨,亡者之夜,虚空重生者,强磁雷场,强磁雷场,龙卷风暴
14,极速狂飙,克哈裂痕,致命勾引,同化体,龙卷风暴,默哀
15,炽热风暴,克哈裂痕,默哀,力量蜕变,生命吸取,复仇战士
16,钢铁狂潮,湮灭快车,丧尸大战,同化体,暗无天日,轨道轰炸
17,雷霆怒吼,虚空降临,炸弹机器人,行尸走肉,暴风雪,轨道轰炸
18,炽热之光,虚空撕裂,同化体,焦土政策,相互摧毁,相互摧毁
19,雷霆咆哮,升格之链,虚空裂隙,礼尚往来,减伤屏障,暴风雪
20,怒海狂涛,湮灭快车,速度狂魔,给我死吧,礼尚往来,短视症
21,寒冰领域,黑暗杀星,同化体,扫雷专家,龙卷风暴,减伤屏障
22,龙战于野,黑暗杀星,小捞油水,强磁雷场,强磁雷场,相互摧毁
23,黑暗降临,湮灭快车,默哀,强磁雷场,焰火秀,复仇战士
24,狂风骤雨,升格之链,炸弹机器人,丧尸大战,减伤屏障,时间扭曲
25,烈焰龙卷,熔火危机,杀戮机器人,坚强意志,自毁程序,龙卷风暴
26,黑暗之门,聚铁成兵,核弹打击,坚强意志,速度狂魔,复仇战士
27,虚空猎手,熔火危机,灵能爆表,虚空重生者,岩浆爆发,默哀
28,黑夜降临,湮灭快车,极性不定,轨道轰炸,生命吸取,龙卷风暴
29,光明使者,克哈裂痕,虚空裂隙,轨道轰炸,晶矿护盾,默哀
30,虚空先锋,克哈裂痕,灵能爆表,速度狂魔,默哀,暴风雪
31,雷霆万钧,湮灭快车,风暴英雄,速度狂魔,相互摧毁,相互摧毁
32,无尽虚空,升格之链,丧尸大战,暴风雪,鼓舞人心,减伤屏障
33,毁灭之力,熔火危机,极性不定,速度狂魔,鼓舞人心,超远视距
34,毁灭风暴,净网行动,极性不定,强磁雷场,龙卷风暴,相互摧毁
35,雷霆一击,天界封锁,异形寄生,来去无踪,自毁程序,减伤屏障
36,寒冰旋风,死亡摇篮,来去无踪,默哀,强磁雷场,暴风雪
37,炽热炼狱,净网行动,虚空重生者,行尸走肉,力量蜕变,相互摧毁
38,铁血战士,克哈裂痕,异形寄生,进攻部署,暗无天日,相互摧毁
39,狂暴之心,熔火危机,虚空重生者,伤害散射,复仇战士,龙卷风暴
40,冰封世界,天界封锁,给我死吧,默哀,震荡攻击,超远视距
41,烈焰冲天,净网行动,扫雷专家,进攻部署,光子过载,暴风雪
42,钢铁意志,虚空撕裂,核弹打击,无边恐惧,致命勾引,轨道轰炸
43,猛龙过江,亡者之夜,来去无踪,轨道轰炸,闪避机动,减伤屏障
44,毁灭之刃,熔火危机,复仇战士,给我死吧,默哀,暴风雪
45,天启之门,机会渺茫,焰火秀,相互摧毁,默哀,速度狂魔
46,电光火石,黑暗杀星,致命勾引,给我死吧,暗无天日,相互摧毁
47,风起云涌,黑暗杀星,虚空重生者,致命勾引,光子过载,短视症
48,烈焰风暴,天界封锁,进攻部署,默哀,行尸走肉,龙卷风暴
49,铁血战士,往日神庙,致命勾引,给我死吧,自毁程序,时间扭曲
50,雷霆怒吼,天界封锁,给我死吧,来去无踪,致命勾引,默哀
51,冰封王座,湮灭快车,小捞油水,虚空重生者,相互摧毁,异形寄生
