序号,突变名称,地图,因子1,因子2,因子3,因子4,评级
1,亡者列车 Train of the Dead,湮灭快车,暗无天日,丧尸大战,行尸走肉,,3
2,先发制人 First Strike,升格之链,激光钻机,超远视距,短视症,,2
3,时空枷锁 Time Lock ,天界封锁,强磁雷场,速度狂魔,时间扭曲,,4
4,恶劣天气 Bad Weather,克哈裂痕,龙卷风暴,虚空裂隙,,,6
5,雪茫危机 Whiteout,虚空降临,暴风雪,小捞油水,,,6
6,战场炼狱 War is Hell,虚空撕裂,闪避机动,岩浆爆发,焦土政策,,4
7,痛苦神庙 Temple of Pain,往日神庙,复仇战士,减伤屏障,晶矿护盾,,7
8,末日之矛 Spear of Your Doom ,天界封锁,轨道轰炸,净化光束,时空立场,,1
9,特别快递 Special Delivery ,虚空降临,进攻部署,异形寄生,自毁程序,,7
10,城市巷战 Urban Warfare,克哈裂痕,扫雷专家,光子过载,来去无踪,,5
11,完美风暴 Perfect Storm,升格之链,暴风雪,短视症,龙卷风暴,,6
12,全面核战 Boom Town,湮灭快车,无边恐惧,核弹打击,自毁程序,,5
13,黑暗仪式 Dark Ritual,往日神庙,灵能爆表,速度狂魔,,,6
14,完全失控 Out of Order,熔火危机,暗无天日,拿钱说话,时间扭曲,,5
15,燃烧军团 Burning Legion,天界封锁,复仇战士,焦土政策,虚空裂隙,,8
16,三重威胁 Triple Threat,虚空降临,激光钻机,轨道轰炸,丧尸大战,,3
17,烈焰战场 World on Fire,熔火危机,核弹打击,飞弹大战,净化光束,,3
18,威胁递增 Growing Threat ,机会渺茫,异形寄生,相互摧毁,力量蜕变,,6
19,资源危机 Miner Concerns,克哈裂痕,无边恐惧,强磁雷场,小捞油水,,6
20,外交豁免 Diplomatic Immunity ,湮灭快车,减伤屏障,闪避机动,极性不定,,8
21,造恶之息 Breath of Destruction ,机会渺茫,进攻部署,复仇战士,速度狂魔,,7
22,玩火自焚 Conflagration,往日神庙,异形寄生,焦土政策,行尸走肉,,5
23,天轰地爆 Explosive Results,虚空撕裂,核弹打击,相互摧毁,自毁程序,,5
24,捉鸡行动 Fowl Play,湮灭快车,补给共享,捕杀火鸡,,,4
25,能量朝负 Power Trip,熔火危机,超远视距,光子过载,灵能爆表,,5
26,拉克希尔大乱斗 Shir Chaos,升格之链,给我死吧,丧尸大战,速度狂魔,,8
27,适者生存 Survival of the Fittest,虚空撕裂,减伤屏障,力量蜕变,,,5
28,暴力之夜 Violent Night,虚空降临,礼尚往来,杀生业报,,,5
29,丛林激斗 Rumble in the Jungle ,机会渺茫,进攻部署,时空立场,来去无踪,,6
30,火葬仪式 Cremation,营救矿工,焦土政策,虚空重生者,,,4
31,高举盾牌！ Shields Up! ,虚空降临,伤害散射,晶矿护盾,短视症,,5
32,乌历新年 Ulnar New Year,天界封锁,焰火秀,幸运红包,,,5
33,死疫横生 Sick Micro,机会渺茫,黑死病,拿钱说话,,,4
34,旧忆重惊 Blast from the Past ,往日神庙,强行征用,相互摧毁,,,4
35,星门异动 Portal Power,虚空撕裂,灵能爆表,虚空裂隙,,,7
36,强行霸占 Hostile Takeover,克哈裂痕,强行征用,激光钻机,飞弹大战,,4
37,死亡危机 Grave Danger ,往日神庙,力量蜕变,虚空重生者,行尸走肉,,6
38,黑暗时刻 The Injustice League,克哈裂痕,坚强意志,风暴英雄,鼓舞人心,,7
39,"没钱麻烦大了 No Money, More Problems",熔火危机,自毁程序,小捞油水,龙卷风暴,,7
40,雷鸣弹啸 Field of Screams,机会渺茫,扫雷专家,极性不定,,,6
41,疫鬼狂潮 The Quick and the Dead ,亡者之夜,黑死病,速度狂魔,,,7
42,隐形威胁 Out of Sight,营救矿工,净化光束,来去无踪,,,3
43,灾难之轮 Wheel of Misfortune,湮灭快车,混乱工作室,,,,3
44,蚀骨之寒 Frostbite,亡者之夜,暴风雪,强磁雷场,,,4
45,无间死局 Certain Demise ,升格之链,复仇战士,虚空重生者,,,5
46,火线快递 Delivery Guaranteed ,虚空降临,减伤屏障,核弹打击,给我死吧,,4
47,烈火金刚 Dead Heat,熔火危机,致命勾引,自毁程序,行尸走肉,,6
48,寒冷即使虚空 Cold is the Void,湮灭快车,暴风雪,虚空重生者,虚空裂隙,,10
49,异形进击 Futile Resistance,天界封锁,震荡攻击,同化体,时空立场,,4
50,硬骨头 Hard Target,虚空撕裂,减伤屏障,坚强意志,极性不定,,6
51,疫区逃生 Charnel House,营救矿工,暗无天日,光子过载,黑死病,,5
52,步步为营 Slow and Steady ,机会渺茫,时间扭曲,速度狂魔,震荡攻击,,5
53,现世现报 Instant Karma,升格之链,双重压力,相互摧毁,自毁程序,,5
54,仁至义尽 Worn Out Welcome,往日神庙,鼓舞人心,给我死吧,超远视距,,6
55,飞蛾扑火 Moths to the Flame ,克哈裂痕,异形寄生,致命勾引,净化光束,,5
