因子名称,图片文件名,图片路径,图片尺寸
上班偷睡,上班偷睡.png,src/resources/images/mutations/上班偷睡.png,71x73
不死邪魔,不死邪魔.png,src/resources/images/mutations/不死邪魔.png,71x73
不给糖果就捣蛋,不给糖果就捣蛋.png,src/resources/images/mutations/不给糖果就捣蛋.png,71x73
丧尸大战,丧尸大战.png,src/resources/images/mutations/丧尸大战.png,71x73
伤害散射,伤害散射.png,src/resources/images/mutations/伤害散射.png,71x73
光子过载,光子过载.png,src/resources/images/mutations/光子过载.png,71x73
净化光束,净化光束.png,src/resources/images/mutations/净化光束.png,71x73
减伤屏障,减伤屏障.png,src/resources/images/mutations/减伤屏障.png,71x73
刺头兵,刺头兵.png,src/resources/images/mutations/刺头兵.png,71x73
力量蜕变,力量蜕变.png,src/resources/images/mutations/力量蜕变.png,71x73
双重压力,双重压力.png,src/resources/images/mutations/双重压力.png,71x73
同化体,同化体.png,src/resources/images/mutations/同化体.png,71x73
坚强意志,坚强意志.png,src/resources/images/mutations/坚强意志.png,71x73
复仇战士,复仇战士.png,src/resources/images/mutations/复仇战士.png,71x73
小捞油水,小捞油水.png,src/resources/images/mutations/小捞油水.png,71x73
岩浆爆发,岩浆爆发.png,src/resources/images/mutations/岩浆爆发.png,71x73
幸运红包,幸运红包.png,src/resources/images/mutations/幸运红包.png,71x73
异形寄生,异形寄生.png,src/resources/images/mutations/异形寄生.png,71x73
强磁雷场,强磁雷场.png,src/resources/images/mutations/强磁雷场.png,71x73
强行征用,强行征用.png,src/resources/images/mutations/强行征用.png,71x73
惧怕黑暗,惧怕黑暗.png,src/resources/images/mutations/惧怕黑暗.png,71x73
拿钱说话,拿钱说话.png,src/resources/images/mutations/拿钱说话.png,71x73
捕杀火鸡,捕杀火鸡.png,src/resources/images/mutations/捕杀火鸡.png,71x73
无边恐惧,无边恐惧.png,src/resources/images/mutations/无边恐惧.png,71x73
时空力场,时空力场.png,src/resources/images/mutations/时空力场.png,71x73
时间扭曲,时间扭曲.png,src/resources/images/mutations/时间扭曲.png,71x73
晶矿护盾,晶矿护盾.png,src/resources/images/mutations/晶矿护盾.png,71x73
暗无天日,暗无天日.png,src/resources/images/mutations/暗无天日.png,71x73
暴风雪,暴风雪.png,src/resources/images/mutations/暴风雪.png,71x73
杀戮机器人,杀戮机器人.png,src/resources/images/mutations/杀戮机器人.png,71x73
杀生业报,杀生业报.png,src/resources/images/mutations/杀生业报.png,71x73
来去无踪,来去无踪.png,src/resources/images/mutations/来去无踪.png,71x73
极度谨慎,极度谨慎.png,src/resources/images/mutations/极度谨慎.png,71x73
极性不定,极性不定.png,src/resources/images/mutations/极性不定.png,71x73
核弹打击,核弹打击.png,src/resources/images/mutations/核弹打击.png,71x73
消极战斗,消极战斗.png,src/resources/images/mutations/消极战斗.png,71x73
混乱工作室,混乱工作室.png,src/resources/images/mutations/混乱工作室.png,71x73
激光钻机,激光钻机.png,src/resources/images/mutations/激光钻机.png,71x73
灵能爆表,灵能爆表.png,src/resources/images/mutations/灵能爆表.png,71x73
炸弹机器人,炸弹机器人.png,src/resources/images/mutations/炸弹机器人.png,71x73
焦土政策,焦土政策.png,src/resources/images/mutations/焦土政策.png,71x73
焰火秀,焰火秀.png,src/resources/images/mutations/焰火秀.png,71x73
生命吸取,生命吸取.png,src/resources/images/mutations/生命吸取.png,71x73
相互摧毁,相互摧毁.png,src/resources/images/mutations/相互摧毁.png,71x73
短视症,短视症.png,src/resources/images/mutations/短视症.png,71x73
石像狂热者,石像狂热者.png,src/resources/images/mutations/石像狂热者.png,71x73
礼尚往来,礼尚往来.png,src/resources/images/mutations/礼尚往来.png,71x73
给我死吧！,给我死吧！.png,src/resources/images/mutations/给我死吧！.png,71x73
自毁程序,自毁程序.png,src/resources/images/mutations/自毁程序.png,71x73
致命勾引,致命勾引.png,src/resources/images/mutations/致命勾引.png,71x73
虚空裂隙,虚空裂隙.png,src/resources/images/mutations/虚空裂隙.png,71x73
虚空重生者,虚空重生者.png,src/resources/images/mutations/虚空重生者.png,71x73
行尸走肉,行尸走肉.png,src/resources/images/mutations/行尸走肉.png,71x73
补给共享,补给共享.png,src/resources/images/mutations/补给共享.png,71x73
超远视距,超远视距.png,src/resources/images/mutations/超远视距.png,71x73
轨道轰炸,轨道轰炸.png,src/resources/images/mutations/轨道轰炸.png,71x73
进攻部署,进攻部署.png,src/resources/images/mutations/进攻部署.png,71x73
迷失方向,迷失方向.png,src/resources/images/mutations/迷失方向.png,71x73
速度狂魔,速度狂魔.png,src/resources/images/mutations/速度狂魔.png,71x73
闪避机动,闪避机动.png,src/resources/images/mutations/闪避机动.png,71x73
震荡攻击,震荡攻击.png,src/resources/images/mutations/震荡攻击.png,71x73
风暴英雄,风暴英雄.png,src/resources/images/mutations/风暴英雄.png,71x73
飞弹大战,飞弹大战.png,src/resources/images/mutations/飞弹大战.png,71x73
黑死病,黑死病.png,src/resources/images/mutations/黑死病.png,71x73
默哀,默哀.png,src/resources/images/mutations/默哀.png,71x73
鼓舞人心,鼓舞人心.png,src/resources/images/mutations/鼓舞人心.png,71x73
龙卷风暴,龙卷风暴.png,src/resources/images/mutations/龙卷风暴.png,71x73
